"filename", "language", "cmake", "Markdown", "C++", "Python", "YAML", "CSS", "comment", "blank", "total"
"d:\Projects\MetaParser\.github\workflows\docs.yml", "YAML", 0, 0, 0, 0, 30, 0, 3, 4, 37
"d:\Projects\MetaParser\DEV_TUTORIAL.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 62, 131
"d:\Projects\MetaParser\INTERFACING.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 24, 60
"d:\Projects\MetaParser\README.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 17, 35
"d:\Projects\MetaParser\cmake\FindSphinx.cmake", "cmake", 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Projects\MetaParser\cmake\RunDoxygen.cmake", "cmake", 23, 0, 0, 0, 0, 0, 0, 10, 33
"d:\Projects\MetaParser\docs\Doxyfile.in", "C++", 0, 0, 291, 0, 0, 0, 0, 3, 294
"d:\Projects\MetaParser\docs\_static\css\mycss.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Projects\MetaParser\docs\conf.py", "Python", 0, 0, 0, 29, 0, 0, 30, 14, 73
"d:\Projects\MetaParser\examples\example1.cpp", "C++", 0, 0, 52, 0, 0, 0, 17, 14, 83
"d:\Projects\MetaParser\input-resolver\input-resolver-test.cpp", "C++", 0, 0, 38, 0, 0, 0, 10, 8, 56
"d:\Projects\MetaParser\input-resolver\input-resolver.cpp", "C++", 0, 0, 207, 0, 0, 0, 27, 39, 273
"d:\Projects\MetaParser\input-resolver\input-resolver.hpp", "C++", 0, 0, 46, 0, 0, 0, 23, 25, 94
"d:\Projects\MetaParser\meta-lexer\meta-lexer-test.cpp", "C++", 0, 0, 35, 0, 0, 0, 9, 6, 50
"d:\Projects\MetaParser\meta-lexer\meta-lexer.cpp", "C++", 0, 0, 59, 0, 0, 0, 1, 2, 62
"d:\Projects\MetaParser\meta-lexer\meta-lexer.hpp", "C++", 0, 0, 22, 0, 0, 0, 11, 9, 42
"d:\Projects\MetaParser\meta-parser\empderv\empderv-test.cpp", "C++", 0, 0, 38, 0, 0, 0, 5, 7, 50
"d:\Projects\MetaParser\meta-parser\empderv\empderv.cpp", "C++", 0, 0, 64, 0, 0, 0, 2, 8, 74
"d:\Projects\MetaParser\meta-parser\first\first-test.cpp", "C++", 0, 0, 52, 0, 0, 0, 6, 14, 72
"d:\Projects\MetaParser\meta-parser\first\first.cpp", "C++", 0, 0, 78, 0, 0, 0, 9, 8, 95
"d:\Projects\MetaParser\meta-parser\follow\follow-test.cpp", "C++", 0, 0, 66, 0, 0, 0, 7, 12, 85
"d:\Projects\MetaParser\meta-parser\follow\follow.cpp", "C++", 0, 0, 86, 0, 0, 0, 24, 6, 116
"d:\Projects\MetaParser\meta-parser\meta-parser.cpp", "C++", 0, 0, 104, 0, 0, 0, 2, 9, 115
"d:\Projects\MetaParser\meta-parser\meta-parser.hpp", "C++", 0, 0, 52, 0, 0, 0, 41, 23, 116
"d:\Projects\MetaParser\meta-parser\prdtbl\prdtbl-test.cpp", "C++", 0, 0, 59, 0, 0, 0, 6, 12, 77
"d:\Projects\MetaParser\meta-parser\prdtbl\prdtbl.cpp", "C++", 0, 0, 22, 0, 0, 0, 0, 2, 24
"d:\Projects\MetaParser\meta-parser\select\select-test.cpp", "C++", 0, 0, 47, 0, 0, 0, 6, 12, 65
"d:\Projects\MetaParser\meta-parser\select\select.cpp", "C++", 0, 0, 19, 0, 0, 0, 2, 2, 23
"d:\Projects\MetaParser\shared\debug\display.hpp", "C++", 0, 0, 85, 0, 0, 0, 5, 14, 104
"d:\Projects\MetaParser\shared\local_path.hpp.in", "C++", 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\Projects\MetaParser\shared\matrix.hpp", "C++", 0, 0, 70, 0, 0, 0, 1, 12, 83
"d:\Projects\MetaParser\shared\prdtbl.hpp", "C++", 0, 0, 33, 0, 0, 0, 0, 7, 40
"d:\Projects\MetaParser\shared\rules.hpp", "C++", 0, 0, 40, 0, 0, 0, 16, 13, 69
"d:\Projects\MetaParser\shared\shared.hpp", "C++", 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Projects\MetaParser\shared\symbol.hpp", "C++", 0, 0, 15, 0, 0, 0, 5, 6, 26
"d:\Projects\MetaParser\shared\syntax_tree.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 2, 3
"d:\Projects\MetaParser\shared\syntax_tree.hpp", "C++", 0, 0, 49, 0, 0, 0, 3, 12, 64
"d:\Projects\MetaParser\shared\utils.hpp", "C++", 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\Projects\MetaParser\third_party\cpp-text-table\README.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 13, 58
"d:\Projects\MetaParser\third_party\cpp-text-table\TextTable.h", "C++", 0, 0, 176, 0, 0, 0, 4, 31, 211
"d:\Projects\MetaParser\third_party\cpp-text-table\example.cpp", "C++", 0, 0, 31, 0, 0, 0, 0, 10, 41
"Total", "-", 32, 168, 1957, 29, 30, 3, 276, 477, 2972
